case_id,source_dataset,source_record_id,sample_id,smiles,regression_target,graph_target,target_name,target_unit,target_source_column,expected_valid,notes
CASE_667,OPECM,667,667,O=c(c1=Cc2sc(c3ccc(c4c5cc(c6sc(C=c(c(=O)c7c8cccc7)c8=C(C#N)C#N)cc6)cc4)c(C5(CCCCCCCCCC)CCCCCCCCCC)c3)cc2)c(cccc9)c9c1=C(C#N)C#N,6.93,6.93,PCE,%,PCE/%,True,valid
CASE_668,OPECM,668,668,O=c(c1=Cc2sc(c3ccc(c4c5cc(c6sc(C=c(c(=O)c7c8cccc7)c8=C(C#N)C#N)cc6)cc4)c(C5(COCCOCCOCC)COCCOCCOCC)c3)cc2)c(cccc9)c9c1=C(C#N)C#N,3.09,3.09,PCE,%,PCE/%,True,valid
CASE_669,OPECM,669,669,ClC1=CC2=C(C=C1Cl)C3=NC4=[N]5C(C6=C4C=C(Cl)C(Cl)=C6)=NC7=C8C(C=C(Cl)C(Cl)=C8)=C9N7B5(OC%10=CC=CC=C%10)N3C2=N9,3.8,3.8,PCE,%,PCE/%,False,invalid_smiles
CASE_670,OPECM,670,670,O=C(C1=C(N(CCCCCCCCCC)C(C1C2C3=CC=C(S3)C(/C(C4=CC=C(C=C4)N5C(C=CC=C6)=C6C7=C5C=CC=C7)=C(C#N)/C#N)=C(C#N)\C#N)=O)C8=CC=CS8)N2CCCCCCCCCC,9.29,9.29,PCE,%,PCE/%,True,valid
CASE_671,OPECM,671,671,CCCCCCCCN(C1=O)C(C2=CC=C(C3=C(C4=CC=C(C5=O)C6C4=C7C8=CC6C(N5C(CC)CC)=O)C(C7=C(N8CCCCCC)C=C9C(N(C(CC)CC)C%10=O)=O)=C9C%10=C3)S2)=C%11C1=C(C%12=CC=C(C%13=C(C%14=C%15C%16=CC%17C%14C(C(N(C(CC)CC)C%17=O)=O)=C%13)C%18=CC=C%19C%20=C%18C%15=C(N%16CCCCCC)C=C%20C(N(C(CC)CC)C%19=O)=O)S%12)N(CCCCCCCC)C%11=O,5.3,5.3,PCE,%,PCE/%,True,valid
CASE_672,OPECM,672,672,CCCCCCCCN(C1=O)C(C2=CC=C(C3=C(C4=CC=C(C5=O)C6C4=C7C8=CC6C(N5C(CC)CC)=O)C(C7=C(N8CCCCCC)C=C9C(N(C(CC)CC)C%10=O)=O)=C9C%10=C3)S2)=C%11C1=C(C%12=CC=C(C(C=C%13C(N(C(CC)CC)C%14=O)=O)=C%15C%16=C%13C%14=CC=C%16C(C=CC=C%17)=C%17S%15)S%12)N(CCCCCCCC)C%11=O,1.1,1.1,PCE,%,PCE/%,True,valid
CASE_673,OPECM,673,673,CCCCCCCCN(C1=O)C(C2=CC=C(C(C=C3C(N(C(CC)CC)C4=O)=O)=C5C6=C3C4=CC=C6C(C=CC=C7)=C7S5)S2)=C8C1=C(C9=CC=C(C(C=C%10C(N(C(CC)CC)C%11=O)=O)=C%12C%13=C%10C%11=CC=C%13C(C=CC=C%14)=C%14S%12)S9)N(CCCCCCCC)C8=O,0.2,0.2,PCE,%,PCE/%,True,valid
CASE_674,OPECM,674,674,O=C(N(CC(CC)CCCCC)C1=O)C2=CC(C(S3)=CC=C3C4=C(C5=C6C=CC7C5C(C(N(CC(CC)CCCCC)C7=O)=O)=C4)C8=CC=C9C%10=C8C6=C(OCCOC)C=C%10C(N(CC(CC)CCCC)C9=O)=O)=C(C%11=C%12C=CC1C%112)C%13=CC=C%14C%15=C%13C%12=C(OCCOC)C=C%15C(N(CC(CC)CCCC)C%14=O)=O,7.24,7.24,PCE,%,PCE/%,True,valid
CASE_675,OPECM,675,675,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC(/C=C(C#N)\C#N)=C6)(C7=CC=C(CCCCCC)C=C7)C8=CC=C(CCCCCC)C=C8)C=C4C9=C2C=C(/C=C(C#N)/C#N)S9,3.63,3.63,PCE,%,PCE/%,True,valid
CASE_676,OPECM,676,676,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC(/C(C#N)=C(C#N)\C#N)=C6)(C7=CC=C(CCCCCC)C=C7)C8=CC=C(CCCCCC)C=C8)C=C4C9=C2C=C(/C(C#N)=C(C#N)/C#N)S9,2.84,2.84,PCE,%,PCE/%,True,valid
